시군명,시설명,이용회원수,도로명 주소,지번 주소,우편번호,전화번호,설치일자,관할기관명,관할담당부서명,관할연락처,비고,WGS84위도,WGS84경도
가평군,선촌1리경로당,49,경기도 가평군 설악면 자잠로 124,경기도 가평군 설악면 선촌리 100-2번지,12466,031-585-5456,1988-11-14,가평군청,희망복지실,031-580-2282,,37.68763834,127.4931929
가평군,선촌2리(석촌)경로당,40,,경기도 가평군 설악면 자잠로23번길76-1,12466,031-584-4885,1999-01-21,가평군청,희망복지실,031-580-2282,,,
가평군,선촌2리(탐선)경로당,32,경기도 가평군 설악면 유명로 1718,경기도 가평군 설악면 선촌리 438-3번지,12466,031-584-4996,1990-04-03,가평군청,희망복지실,031-580-2282,,37.67697094,127.4800302
가평군,설곡리(성곡)경로당,20,경기도 가평군 설악면 봉미산안길 175-7,경기도 가평군 설악면 설곡리 182번지,12471,,2010-05-28,가평군청,희망복지실,031-580-2282,,37.61701405,127.5363353
가평군,설곡리경로당,55,,경기도 가평군 설악면 설곡리 703-1번지,12471,031-584-3274,,가평군청,희망복지실,031-580-2282,,37.62134334,127.5190812
가평군,설악면분회경로당,98,경기도 가평군 설악면 신천중앙로120번길 6-86,경기도 가평군 설악면 신천리 430번지,12465,031-584-7220,1991-02-11,가평군청,희망복지실,031-580-2282,,37.67828396,127.4916123
가평군,세양청마루경로당,34,,경기도 가평군 청평면 청평리 472번지 청평세양청마루아파트,12451,031-584-1554,2009-01-05,가평군청,희망복지실,031-580-2282,,37.74018785,127.4164263
가평군,소법1리경로당,48,경기도 가평군 북면 손일로 128,경기도 가평군 북면 소법리 402번지,12404,031-582-7386,,가평군청,희망복지실,031-580-2282,,37.9006141,127.5498477
가평군,소법2리경로당,41,경기도 가평군 북면 화악산로 306,경기도 가평군 북면 소법리 170-4번지,12404,031-582-7438,,가평군청,희망복지실,031-580-2282,,37.90691903,127.5635733
가평군,송산1리경로당,26,경기도 가평군 설악면 미사리로 291-1,경기도 가평군 설악면 송산리 294-1번지,12461,031-585-3153,1993-12-05,가평군청,희망복지실,031-580-2282,,37.68614001,127.5232711
가평군,송산2리경로당,15,경기도 가평군 설악면 미사리로645번길 205,경기도 가평군 설악면 송산리 1036-1번지,12461,,2009-10-01,가평군청,희망복지실,031-580-2282,,37.72075205,127.5258836
가평군,승안1리경로당,69,경기도 가평군 가평읍 용추로 3-1,경기도 가평군 가평읍 승안리 62-17번지,12408,031-582-8173,1994-01-13,가평군청,희망복지실,031-580-2282,,37.84006879,127.5060831
가평군,승안2리경로당,42,경기도 가평군 가평읍 용추로 238,경기도 가평군 가평읍 승안리 286번지,12408,031-582-2338,1989-05-16,가평군청,희망복지실,031-580-2282,,37.84781331,127.4875822
가평군,신상1리경로당,35,경기도 가평군 조종면 운악청계로 253,경기도 가평군 조종면 신상리 335-8번지,12434,031-585-0955,1997-03-20,가평군청,희망복지실,031-580-2282,,37.83870406,127.353097
가평군,신상2리경로당,52,경기도 가평군 조종면 운악청계로 365,경기도 가평군 조종면 신상리 170-19번지,12434,031-585-3088,1990-11-19,가평군청,희망복지실,031-580-2282,,37.84775227,127.3551735
가평군,신상3리경로당,40,,경기도 가평군 조종면 신상리 673번지,12434,031-584-5953,1988-12-19,가평군청,희망복지실,031-580-2282,,37.83553616,127.3364059
가평군,신천1리경로당,77,경기도 가평군 설악면 자잠로 11,경기도 가평군 설악면 신천리 472-7번지,12465,031-584-2558,1985-03-01,가평군청,희망복지실,031-580-2282,,37.67869404,127.488305
가평군,신천2리경로당,64,경기도 가평군 설악면 자잠로 124,경기도 가평군 설악면 선촌리 100-2번지,12466,031-584-4487,1992-01-06,가평군청,희망복지실,031-580-2282,,37.68763834,127.4931929
가평군,신천3리경로당,28,경기도 가평군 설악면 신천중앙로35번길 22,경기도 가평군 설악면 신천리 403-3번지,12467,031-584-0771,1989-03-15,가평군청,희망복지실,031-580-2282,,37.67411043,127.4899414
가평군,신천4리경로당,22,경기도 가평군 설악면 한갑골길 76,경기도 가평군 설악면 신천리 784-1번지,12467,031-584-5536,1992-01-06,가평군청,희망복지실,031-580-2282,,37.6721999,127.4812578
가평군,신하리간촌경로당,30,경기도 가평군 조종면 연인산로150번길 53-3,경기도 가평군 조종면 신하리 110번지,12436,,2015-01-13,가평군청,희망복지실,031-580-2282,,37.83067725,127.3648384
가평군,신하리경로당,39,,경기도 가평군 조종면 신하리 308-1번지,12436,031-584-9929,1992-03-04,가평군청,희망복지실,031-580-2282,,37.83103688,127.3591719
가평군,엄소리경로당,68,경기도 가평군 설악면 묵안로 170-46,경기도 가평군 설악면 엄소리 203번지,12470,031-584-4003,,가평군청,희망복지실,031-580-2282,,37.6476133,127.4964196
가평군,연하1리경로당,78,경기도 가평군 상면 연하길 32,경기도 가평군 상면 연하리 168-10번지,12444,031-584-6795,1990-10-18,가평군청,희망복지실,031-580-2282,,37.80326292,127.3555071
가평군,연하2리경로당,44,경기도 가평군 상면 역촌길 32,경기도 가평군 상면 연하리 419-4번지,12444,031-585-2970,1989-01-10,가평군청,희망복지실,031-580-2282,,37.80023626,127.3461822
가평군,우림아파트경로당,23,,경기도 가평군 가평읍 대곡리 360번지 우림아파트 102동,12416,031-581-0351,2011-02-18,가평군청,희망복지실,031-580-2282,,37.82328204,127.5108303
가평군,운악리(구)하판리경로당,79,경기도 가평군 조종면 운악청계로490번길 13,경기도 가평군 조종면 운악리 341-5번지,12432,031-585-4007,1987-07-20,가평군청,희망복지실,031-580-2282,,37.8594258,127.3560359
가평군,"운악리(동구,와곡)경로당",20,경기도 가평군 조종면 현등사길 7-8,경기도 가평군 조종면 운악리 458번지,12432,031-585-1117,2009-04-02,가평군청,희망복지실,031-580-2282,,37.86508642,127.3490397
가평군,운악리(세구지)경로당,31,경기도 가평군 조종면 명지산로 86,경기도 가평군 조종면 운악리 199-5번지,12432,031-585-6936,2007-02-07,가평군청,희망복지실,031-580-2282,,37.8818039,127.3623376
가평군,원흥리(태봉2리)경로당,39,,경기도 가평군 상면 원흥리 469번지,12442,031-585-0778,1997-12-17,가평군청,희망복지실,031-580-2282,,37.81756946,127.3241503
가평군,위곡1리경로당,47,경기도 가평군 설악면 한서로 365,경기도 가평군 설악면 위곡리 200-1번지,12463,031-584-6164,1984-04-10,가평군청,희망복지실,031-580-2282,,37.67152773,127.5290858
가평군,위곡2리경로당,47,경기도 가평군 설악면 한서로 228-16,경기도 가평군 설악면 위곡리 795-5번지,12463,031-584-7365,1985-04-30,가평군청,희망복지실,031-580-2282,,37.66947846,127.5156968
가평군,위곡2리음동경로당,29,경기도 가평군 설악면 샛자리길 14-35,경기도 가평군 설악면 위곡리 521-3번지,12463,031-584-2829,2009-10-01,가평군청,희망복지실,031-580-2282,,37.67089278,127.5219178
가평군,위곡3리(남)경로당,18,경기도 가평군 설악면 한서로210번길 162,경기도 가평군 설악면 위곡리 412번지,12463,031-584-2239,,가평군청,희망복지실,031-580-2282,,37.65569956,127.5164406
가평군,위곡3리(여)경로당,22,경기도 가평군 설악면 한서로210번길 162,경기도 가평군 설악면 위곡리 412번지,12463,,2009-10-01,가평군청,희망복지실,031-580-2282,,37.65569956,127.5164406
가평군,율길1리(장막동)경로당,29,경기도 가평군 상면 장막동길 26-14,경기도 가평군 상면 율길리 450-3번지,12441,031-585-3485,2011-11-07,가평군청,희망복지실,031-580-2282,,37.83992262,127.2851332
가평군,율길1리경로당,43,경기도 가평군 상면 음지말로 6,경기도 가평군 상면 율길리 327번지,12441,031-584-1129,1985-11-29,가평군청,희망복지실,031-580-2282,,37.83153803,127.2912692
가평군,율길2리경로당,39,,경기도 가평군 상면 율길리 709번지,12441,031-584-9422,1985-05-09,가평군청,희망복지실,031-580-2282,,37.82764862,127.2901864
가평군,읍내10리경로당,35,,경기도 가평군 가평읍 읍내리 759-2번지,12414,031-582-6494,2002-01-23,가평군청,희망복지실,031-580-2282,,37.83904137,127.506167
가평군,읍내1리경로당,30,경기도 가평군 가평읍 가화로 97,경기도 가평군 가평읍 읍내리 476-12번지 느낌인테리어,12418,031-582-6693,2001-10-30,가평군청,희망복지실,031-580-2282,,37.82834901,127.5141363
가평군,읍내2리경로당,41,경기도 가평군 가평읍 장터길 15,경기도 가평군 가평읍 읍내리 397-23번지,12419,031-582-4264,1999-07-28,가평군청,희망복지실,031-580-2282,,37.82909866,127.5157771
가평군,읍내3리경로당,38,경기도 가평군 가평읍 보납로 7,경기도 가평군 가평읍 읍내리 499-1번지,12413,031-582-7617,2002-12-12,가평군청,희망복지실,031-580-2282,,37.83123539,127.511271
가평군,읍내4리경로당,52,경기도 가평군 가평읍 중촌로 17-5,경기도 가평군 가평읍 읍내리 601-6번지,12414,031-581-2838,1999-03-23,가평군청,희망복지실,031-580-2282,,37.83342805,127.5083894
가평군,읍내5리경로당,40,경기도 가평군 가평읍 잎너비길 35,경기도 가평군 가평읍 읍내리 129-2번지,12411,031-582-4190,1997-01-28,가평군청,희망복지실,031-580-2282,,37.84706209,127.5098004
가평군,읍내6리경로당,44,경기도 가평군 가평읍 새말옛로6번길 7,경기도 가평군 가평읍 읍내리 536-2번지,12417,031-582-2510,1989-05-15,가평군청,희망복지실,031-580-2282,,37.82881665,127.510164
가평군,읍내7리경로당,50,경기도 가평군 가평읍 신용길 10,경기도 가평군 가평읍 읍내리 376-8번지,12419,031-582-9230,1994-01-13,가평군청,희망복지실,031-580-2282,,37.82596088,127.5163574
가평군,읍내8리경로당,52,경기도 가평군 가평읍 자라목3길 8,경기도 가평군 가평읍 읍내리 302-7번지,12411,031-582-9232,1989-05-16,가평군청,희망복지실,031-580-2282,,37.83090241,127.5194699
가평군,읍내9리경로당,50,경기도 가평군 가평읍 가화로 152,경기도 가평군 가평읍 읍내리 266-3번지,12412,031-582-5255,1995-03-22,가평군청,희망복지실,031-580-2282,,37.83284408,127.5121908
가평군,이곡1리경로당,49,경기도 가평군 북면 내촌길 50,경기도 가평군 북면 이곡리 282-2번지,12407,031-582-2516,,가평군청,희망복지실,031-580-2282,,37.88061924,127.5308539
가평군,이곡2리경로당,51,경기도 가평군 북면 가화로 939,경기도 가평군 북면 이곡리 61-4번지,12407,031-582-5772,,가평군청,희망복지실,031-580-2282,,37.87986632,127.5458524
가평군,이천리(영천벌전말)경로당,26,경기도 가평군 설악면 다락재로485번길 129,경기도 가평군 설악면 이천리 103-7번지,12468,031-584-5075,2017-03-14,가평군청,희망복지실,031-580-2282,,37.65067376,127.4472611
가평군,이천리경로당,27,,경기도 가평군 설악면 이천리 333번지,12468,031-584-5074,1996-12-10,가평군청,희망복지실,031-580-2282,,37.66374954,127.4465117
가평군,이화리경로당,53,경기도 가평군 가평읍 호반로 2302,경기도 가평군 가평읍 이화리 437번지,12427,031-582-4754,1989-05-16,가평군청,희망복지실,031-580-2282,,37.7952962,127.5114674
가평군,임초1리경로당,46,경기도 가평군 상면 청군로 700-4,경기도 가평군 상면 임초리 410-7번지,12447,031-584-9180,1988-12-15,가평군청,희망복지실,031-580-2282,,37.77440089,127.3717827
가평군,임초2리경로당,60,경기도 가평군 상면 임초밤안골로 50,경기도 가평군 상면 임초리 345-5번지,12447,031-584-0677,1994-07-16,가평군청,희망복지실,031-580-2282,,37.76477009,127.3716781
가평군,적목리경로당,52,경기도 가평군 북면 가화로 2681,경기도 가평군 북면 적목리 147-4번지,12400,031-582-5253,,가평군청,희망복지실,031-580-2282,,37.9702443,127.4547227
가평군,제령리경로당,53,경기도 가평군 북면 꽃넘이길 15-6,경기도 가평군 북면 제령리 290-2번지,12405,031-582-9864,,가평군청,희망복지실,031-580-2282,,37.89438996,127.5298268
가평군,조종면분회경로당,53,,경기도 가평군 조종면 현리 293-4번지,12437,031-585-0325,,가평군청,희망복지실,031-580-2282,,37.81995488,127.3472048
가평군,주공아파트경로당,26,경기도 가평군 가평읍 가화로 142-26,경기도 가평군 가평읍 읍내리 270번지 주공아파트1차관리소옆 경로당,12412,031-581-1045,2000-02-08,가평군청,희망복지실,031-580-2282,,37.8321787,127.5139696
가평군,창의리경로당,72,경기도 가평군 설악면 한서로 153-5,경기도 가평군 설악면 창의리 112-3번지,12464,031-584-5829,1989-12-06,가평군청,희망복지실,031-580-2282,,37.66989258,127.5074141
가평군,천안1리경로당,35,경기도 가평군 설악면 유명로 1086,경기도 가평군 설악면 천안리 607-4번지,12469,031-584-6953,1987-10-20,가평군청,희망복지실,031-580-2282,,37.63495056,127.4821405
가평군,천안2리경로당,23,경기도 가평군 설악면 천현길 17,경기도 가평군 설악면 천안리 401번지,12469,031-585-0679,1990-11-19,가평군청,희망복지실,031-580-2282,,37.64980732,127.4754711
가평군,청평1리경로당,46,경기도 가평군 청평면 시장중앙로 17,경기도 가평군 청평면 청평리 738-8번지,12453,031-585-6526,2004-08-03,가평군청,희망복지실,031-580-2282,,37.73457873,127.4153401
가평군,청평2리경로당,68,경기도 가평군 청평면 여울길 3,경기도 가평군 청평면 청평리 783-2번지,12452,031-584-1948,2012-01-20,가평군청,희망복지실,031-580-2282,,37.73874592,127.4216483
가평군,청평3리(창말)경로당,45,경기도 가평군 청평면 호반로 18,경기도 가평군 청평면 청평리 706-21번지 마을회관 2층,12454,031-584-0967,2009-10-01,가평군청,희망복지실,031-580-2282,,37.7275823,127.4116147
가평군,청평3리경로당,46,경기도 가평군 청평면 구청평로 17,경기도 가평군 청평면 청평리 659-1번지 문화회관 1층,12454,031-584-9468,,가평군청,희망복지실,031-580-2282,,37.7305518,127.4100656
가평군,청평4리경로당,73,경기도 가평군 청평면 잠곡로 69-8,경기도 가평군 청평면 청평리 188-16번지,12452,031-584-6434,,가평군청,희망복지실,031-580-2282,,37.73816037,127.4266708
가평군,청평5리경로당,43,경기도 가평군 청평면 갈오현로 10-4,경기도 가평군 청평면 청평리 445-6번지,12451,031-585-1371,2005-11-15,가평군청,희망복지실,031-580-2282,,37.73741266,127.4165016
가평군,청평6리경로당,48,경기도 가평군 청평면 청평중앙로82번길 30-1,경기도 가평군 청평면 청평리 357-10번지,12452,031-585-7719,2006-12-11,가평군청,희망복지실,031-580-2282,,37.73773966,127.4233897
가평군,청평7리경로당,41,경기도 가평군 청평면 골안길 7-12,경기도 가평군 청평면 청평리 293-15번지,12451,031-585-5085,2008-10-08,가평군청,희망복지실,031-580-2282,,37.7425525,127.422895
가평군,청평8리경로당,68,경기도 가평군 청평면 강변나루로40번길 1,경기도 가평군 청평면 청평리 76-6번지,12454,031-584-5065,,가평군청,희망복지실,031-580-2282,,37.73285926,127.4149562
가평군,청평9리(청구아파트)경로당,33,경기도 가평군 청평면 경춘로 807-18,경기도 가평군 청평면 청평리 470-37번지 청구아파트 관리동 경로당,12451,031-584-5537,,가평군청,희망복지실,031-580-2282,,37.7384369,127.4173128
가평군,청평면분회경로당,63,,경기도 가평군 청평면 청평리 432-15번지,12452,031-584-0580,,가평군청,희망복지실,031-580-2282,,37.7385494,127.4211707
가평군,청평삼성쉐르빌경로당,26,,경기도 가평군 청평면 청평리 837번지 청평삼성쉐르빌,12454,031-584-6893,2012-09-20,가평군청,희망복지실,031-580-2282,,37.732107,127.4162339
가평군,코아루아파트경로당,30,,경기도 가평군 설악면 선촌리 663번지 북한강코아루,12466,,2014-12-23,가평군청,희망복지실,031-580-2282,,37.6841156,127.4931924
