시군명,센터명,전화번호,담당부서명,사례팀명,자원팀명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
오산시,오산시무한돌봄센터,031-8036-7421,희망복지과,무한돌봄팀,,18132,경기도 오산시 성호대로 141 1층 희망복지과(3층 무한돌봄센터),경기도 오산시 성호대로 141 1층 희망복지과(3층 무한돌봄센터),37.1498057,127.0774446
용인시,용인시무한돌봄센터,031-324-3855,복지정책과,희망나눔팀,,17019,"경기도 용인시 처인구 중부대로 1199(삼가동, 용인시청 복지정책과)","경기도 용인시 처인구 중부대로 1199(삼가동, 용인시청 복지정책과)",37.2407685,127.1774648
의왕시,의왕시무한돌봄센터,031-345-2422,희망복지과,복지지원팀,,16075,경기도 의왕시 시청로11(고천동),경기도 의왕시 시청로11(고천동),37.3451676,126.9678403
의정부시,의정부시무한돌봄센터,031-828-4133,복지정책과,희망복지팀,,11622,"경기도 의정부시 시민로 1 (의정부동, 의정부시청) 신관3층","경기도 의정부시 시민로 1 (의정부동, 의정부시청) 신관3층",37.73799,127.0338535
이천시,이천시무한돌봄센터,031-645-3532,복지정책과,무한돌봄팀,,17379,"경기도 이천시 부악로 40, 이천시청 복지정책과","경기도 이천시 부악로 40, 이천시청 복지정책과",37.2716022,127.4343015
파주시,파주시무한돌봄센터,031-940-8582,복지정책과,맞춤형복지지원팀,,10932,"경기도 파주시 시청로 50, 파주시청 복지정책과","경기도 파주시 시청로 50, 파주시청 복지정책과",37.7594512,126.7799811
평택시,평택시무한돌봄센터,031-8024-3071,복지정책과,무한돌봄팀,,17901,경기도 평택시 경기대로 245(비전동),경기도 평택시 경기대로 245(비전동),36.9917145,127.1127754
포천시,포천시무한돌봄센터,031-8082-5751,사회복지과,희망복지팀,복지지원팀,11147,경기도 포천시 중앙로87,경기도 포천시 중앙로87,37.8948001,127.2003259
하남시,하남시무한돌봄센터,031-790-5536,복지정책과,희망복지팀,,12951,경기도 하남시 대청로 10(신장동) 하남시청,경기도 하남시 대청로 10(신장동) 하남시청,37.5390409,127.2146136
화성시,화성시무한돌봄센터,031-369-6152,복지정책과,사례관리팀,복지자원관리팀,,경기도 화성시 남양읍 시청도 159 복지정책과(화성시청),경기도 화성시 남양읍 시청도 159 복지정책과(화성시청),,
