시군구명,시설종류,시설명,장기요양지정기관여부,도로명주소,지번주소,우편번호,전화번호,FAX번호,입소정원,입소현원-계,입소현원-남자,입소현원-여자,입소현원-등급내(1~5급),입소현원-등급외,연간이용인원-계,연간이용인원-남자,연간이용인원-여자,종사자정원,종사자현원-계,종사자현원-남자,종사자현원-여자,종사자현원 근무별-계,종사자현원-정규직,설치일자,설치주체-지자체,설치주체-민간,운영주체-구분,운영주체-법인(단체)명,영리/비영리,비고,WGS84위도,WGS84경도
고양시,재가노인복지시설 방문요양,고양시니어 재가방문요양센터,지정,경기도 고양시 덕양구 통일로 43-168,경기도 고양시 덕양구 동산동 53-124번지,10596,02-389-6820,02-389-6821,,9,4,5,9,0,9,4,5,0,11,0,11,11,1,2016-10-25,,사회복지법인,사회복지법인신애원,사회복지법인,비영리,,37.64080342,126.9060548
고양시,재가노인복지시설 방문목욕,고양시니어 재가방문요양센터,지정,경기도 고양시 덕양구 통일로 43-168,경기도 고양시 덕양구 동산동 53-124번지,10596,02-389-6820,02-389-6821,,1,0,1,1,0,1,0,1,0,3,0,3,3,1,2016-10-25,,사회복지법인,사회복지법인신애원,사회복지법인,비영리,,37.64080342,126.9060548
고양시,재가노인복지시설 방문목욕,고양시소규모노인종합센터,지정,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705번지,10464,031-967-3403,031-967-3402,,0,0,0,0,0,0,0,0,0,11,1,10,11,3,2007-11-22,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.65504462,126.8382014
고양시,재가노인복지시설 방문요양,고양시소규모노인종합센터,지정,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705번지,10464,031-967-3403,031-967-3402,,55,8,47,55,0,669,82,587,0,42,1,41,42,3,2007-11-22,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.65504462,126.8382014
고양시,재가노인복지시설 재가노인지원서비스,고양시소규모노인종합센터,미지정,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705번지,10464,031-967-3403,031-967-3402,,103,27,76,1,102,136,43,93,0,4,2,2,4,4,2007-11-22,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.65504462,126.8382014
고양시,재가노인복지시설 주야간보호,고양시치매노인주간보호센터,지정,경기도 고양시 덕양구 용현로 42,경기도 고양시 덕양구 행신동 772-1번지,10528,031-979-9362,031-979-9364,35,31,10,21,30,1,8050,2659,5391,0,12,3,9,12,12,2000-11-01,,사회복지법인,해피월드복지재단,사회복지법인,비영리,,37.61655205,126.8360097
고양시,재가노인복지시설 주야간보호,고양어르신복지센터,지정,경기도 고양시 일산서구 하이파크2로 42,경기도 고양시 일산서구 덕이동 1544번지,10234,031-914-0365,031-914-0364,56,31,5,26,30,1,234,39,195,0,13,0,13,13,11,2016-11-17,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.69907115,126.753935
고양시,재가노인복지시설 방문목욕,고양어르신복지센터,지정,경기도 고양시 일산서구 하이파크2로 42,경기도 고양시 일산서구 덕이동 1544번지,10234,031-914-0360,031-914-0360,,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2016-11-17,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.69907115,126.753935
고양시,재가노인복지시설 방문요양,고양어르신복지센터,지정,경기도 고양시 일산서구 하이파크2로 42,경기도 고양시 일산서구 덕이동 1544번지,10234,031-914-0360,031-914-0360,,25,4,21,25,0,307,60,247,0,18,0,18,18,2,2016-11-17,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.69907115,126.753935
고양시,재가노인복지시설 주야간보호,광성노인복지센터,지정,경기도 고양시 일산동구 산두로261번길 40,경기도 고양시 일산동구 정발산동 1128-1번지,10357,031-915-8815,031-915-8816,15,15,1,14,15,0,23,2,21,0,7,2,5,7,7,2008-02-05,,사회복지법인,해피월드복지재단,사회복지법인,비영리,,37.67459616,126.7784556
고양시,재가노인복지시설 주야간보호,백송노인주간보호센터,지정,경기도 고양시 일산서구 고양대로 654,경기도 고양시 일산서구 일산동 620-3번지,10352,031-975-1344,031-975-3305,17,17,5,12,17,0,25,8,17,0,6,3,3,6,3,2013-01-01,,사회복지법인,대건카리타스,사회복지법인,비영리,,37.68437966,126.7686879
고양시,재가노인복지시설 주야간보호,보리주간보호센터,지정,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,10400,031-919-8680,031-919-8678,15,9,4,5,9,0,22,12,10,0,5,0,5,5,3,2008-06-30,,사회복지법인,연꽃마을,사회복지법인,비영리,,37.6577997,126.7634564
고양시,재가노인복지시설 방문요양,사랑방가정봉사원파견센터,지정,,경기도 고양시 일산서구 대화동 2234번지 장성마을3단지아파트,10382,031-919-6606,031-919-6609,,7,3,4,7,0,16,5,11,0,2,1,1,2,0,2010-03-03,,개인,,개인,영리,,37.67240371,126.7460217
고양시,재가노인복지시설 주야간보호,은빛사랑채 고양노인주야간보호센터,지정,경기도 고양시 덕양구 토당로104번길 18,경기도 고양시 덕양구 토당동 295-2번지,10508,031-970-0365,031-970-0491,14,16,4,12,16,0,16,4,12,0,16,2,14,16,8,2008-08-04,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.62396784,126.8183788
고양시,재가노인복지시설,일산노인복지센터가정봉사원파견센터,미지정,경기도 고양시 일산서구 성저로70번길 10-9,경기도 고양시 일산서구 대화동 2070번지,10368,031-912-1232,031-912-2886,,1760,352,1408,0,1760,1760,352,1408,0,1,0,1,1,1,2005-10-12,,개인,,개인,영리,,37.68437733,126.7543469
고양시,재가노인복지시설 방문요양,참좋은집,지정,경기도 고양시 일산동구 고봉로770번길 211-1,경기도 고양시 일산동구 성석동 1061-40번지,10252,031-975-2842,031-975-2841,,4,2,2,4,0,4,2,2,0,5,0,5,5,5,2008-01-25,,개인,,개인,영리,,37.71718214,126.7968482
고양시,재가노인복지시설 주야간보호,희망주야간보호센터,지정,경기도 고양시 덕양구 내유길 30,경기도 고양시 덕양구 내유동 441-1번지,10264,031-962-8338,031-963-7107,17,9,3,6,9,0,9,3,6,0,7,1,6,7,7,2016-06-01,,사회복지법인,사회복지법인군상재단희망의마을,사회복지법인,비영리,,37.7186536,126.8523969
고양시 일산서구,재가노인복지시설 방문요양,샘터재가요양센터,지정,경기도 고양시 일산서구 장자길118번길 55,경기도 고양시 일산서구 덕이동 696-3번지,10228,031-919-8777,031-912-4877,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2010-06-10,,개인,,개인,비영리,,37.70229302,126.7439116
고양시 일산서구,재가노인복지시설 방문목욕,샘터재가요양센터,지정,경기도 고양시 일산서구 장자길118번길 55,경기도 고양시 일산서구 덕이동 696-3번지,10228,031-919-8777,031-912-4877,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2010-06-10,,개인,,개인,비영리,,37.70229302,126.7439116
과천시,재가노인복지시설 주야간보호,"""(1)""과천주간보호센터",지정,경기도 과천시 향촌6길 18-9,경기도 과천시 별양동 45번지,13834,02-507-6588,02-507-6589,9,9,0,9,9,0,14,0,14,4,4,1,3,4,4,2006-07-01,위탁,,대한노인회과천시지회,사단법인,비영리,,37.42396615,126.9973124
과천시,재가노인복지시설 주야간보호,"""0nly 1"" 큰소망노인복지센터",지정,경기도 과천시 문원청계2길 50,경기도 과천시 문원동 115-354번지,13827,02-504-7601,02-503-1692,9,9,3,6,9,0,14,2,12,4,4,2,2,4,3,2008-07-01,,사회복지법인,사회복지법인큰소망,사회복지법인,비영리,,37.42174963,127.009389
과천시,재가노인복지시설 주야간보호,"""A+과천행복""노인복지센터",지정,경기도 과천시 희망4길 53,경기도 과천시 중앙동 16-3번지,13805,02-502-2334,02-503-2334,9,9,0,9,9,0,14,0,14,4,5,1,4,5,4,2008-07-01,,사회복지법인,사회복지법인하늘행복나눔재단,사회복지법인,비영리,,37.43380466,126.991086
과천시,재가노인복지시설 주야간보호,과천시노인복지관 주간보호센터,지정,경기도 과천시 문원로 57,경기도 과천시 문원동 15-168번지,13828,02-509-7641,02-509-7648,28,28,9,19,27,1,338,109,229,12,12,3,9,12,4,2008-07-01,,사회복지법인,사회복지법인큰소망,사회복지법인,비영리,,37.42807486,127.0043055
광명시,재가노인복지시설 방문목욕,광명YWCA재가요양센터,지정,경기도 광명시 오리로 953,경기도 광명시 광명동 158-487번지,14263,02-2619-8928,02-898-0736,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2010-05-18,,개인,,개인,영리,휴업,37.47835077,126.8570406
광명시,재가노인복지시설 방문요양,광명YWCA재가요양센터,지정,경기도 광명시 오리로 953,경기도 광명시 광명동 158-487번지,14263,02-2619-8928,02-898-0736,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2010-05-18,,개인,,개인,영리,휴업,37.47835077,126.8570406
광명시,재가노인복지시설 방문요양,광명노인복지센터,지정,경기도 광명시 소하로 88,경기도 광명시 소하동 1341-3번지,14316,02-803-0453,02-2618-2500,0,15,5,10,15,0,19,4,15,17,17,0,17,17,2,2000-01-01,,그외법인,한국지역복지봉사회,사회복지법인,비영리,,37.44685435,126.8833195
광명시,재가노인복지시설 방문요양,더헤븐즈메디컬홈케어방문센터,지정,경기도 광명시 하안로 294-9,경기도 광명시 하안동 54-2번지,14306,070-4114-2592,0505-115-3059,0,29,1,28,29,0,29,1,28,0,17,0,17,17,2,2016-05-12,,개인,,개인,영리,,37.46245723,126.8809324
광명시,재가노인복지시설 방문목욕,더헤븐즈메디컬홈케어방문센터,지정,경기도 광명시 하안로 294-9,경기도 광명시 하안동 54-2번지,14306,070-4114-2592,0505-115-3059,0,29,1,28,29,0,29,1,28,0,17,0,17,17,2,2016-05-12,,개인,,개인,영리,,37.46245723,126.8809324
광주시,재가노인복지시설 주야간보호,(주)광주돌봄 노인주야간보호센터 태전점,지정,경기도 광주시 장지7길 29-25,경기도 광주시 장지동 106번지,12777,031-768-0768,031-766-0765,20,20,4,16,20,0,20,4,16,10,10,2,8,10,10,2015-12-01,,그외법인,㈜광주돌봄,주식회사,영리,,37.39203513,127.2380042
광주시,재가노인복지시설 주야간보호,(주)광주돌봄 부설 노인주야간보호센터,지정,경기도 광주시 중앙로203번길 12,경기도 광주시 송정동 122-5번지,12745,031-764-0768,031-762-0765,14,11,0,11,11,0,19,0,19,8,8,1,7,8,8,2015-12-10,,그외법인,㈜광주돌봄,주식회사,영리,,37.41802926,127.2554255
광주시,재가노인복지시설 방문요양,광주동원재가노인복지센터,지정,경기도 광주시 파발로 202,경기도 광주시 탄벌동 18-1번지,12739,031-797-7608,031-797-7582,0,17,5,12,17,0,62,21,41,0,18,1,17,18,2,2017-06-16,,그외법인,동원대학교산학협력단,학교법인,비영리,,37.41686062,127.2498977
광주시,재가노인복지시설 방문목욕,광주동원재가노인복지센터,지정,경기도 광주시 파발로 202,경기도 광주시 탄벌동 18-1번지,12739,031-797-7608,031-797-7582,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2017-06-16,,그외법인,동원대학교산학협력단,학교법인,비영리,,37.41686062,127.2498977
광주시,재가노인복지시설 방문목욕,광주재가노인지원서비스센터,지정,경기도 광주시 초월읍 경충대로1284번길 41-7,경기도 광주시 초월읍 대쌍령리 154-16번지,12735,031-766-9615,031-766-9605,0,7,5,2,7,0,14,10,4,0,50,1,49,50,50,2017-05-17,,사회복지법인,(복)오로지종합복지원,사회복지법인,비영리,,37.39117201,127.290195
광주시,재가노인복지시설 방문요양,광주재가노인지원서비스센터,지정,경기도 광주시 초월읍 경충대로1284번길 41-7,경기도 광주시 초월읍 대쌍령리 154-16번지,12735,031-766-9615,031-766-9605,0,66,19,47,66,0,105,29,76,0,50,1,49,50,50,2017-05-17,,사회복지법인,(복)오로지종합복지원,사회복지법인,비영리,,37.39117201,127.290195
광주시,재가노인복지시설 주야간보호,요한나주간보호센터,지정,경기도 광주시 초월읍 경충대로1284번길 41-7,경기도 광주시 초월읍 대쌍령리 154-16번지,12735,031-766-9139,031-766-9605,15,15,3,12,15,0,17,4,13,9,10,1,9,10,7,2008-06-30,,사회복지법인,(복)오로지종합복지원,사회복지법인,비영리,정부지원,37.39117201,127.290195
구리시,재가노인복지시설 주야간보호,고운빛요양원,지정,경기도 구리시 체육관로80번길 19,경기도 구리시 수택동 847-5번지,11940,031-551-4974,031-551-4976,9,7,0,7,7,0,12,0,12,7,5,0,5,5,5,2011-01-10,,개인,,개인,영리,,37.59184175,127.1389805
구리시,재가노인복지시설 주야간보호,교문주간보호센터,지정,경기도 구리시 동구릉로6번길 13-1,경기도 구리시 교문동 256-13번지,11923,031-555-0211,031-646-1336,36,36,12,24,36,0,55,40,15,16,16,2,14,16,15,2016-08-04,,개인,,개인,영리,,37.60164348,127.1317623
구리시,재가노인복지시설 방문요양,구리노인복지센터,지정,경기도 구리시 벌말로129번길 50,경기도 구리시 토평동 984번지,11946,031-556-8100,031-556-6052,0,50,13,37,50,0,65,18,47,0,43,0,43,43,3,2007-12-30,,사회복지법인,신망애복지재단,사회복지법인,비영리,,37.58922903,127.1464825
구리시,재가노인복지시설 주야간보호,구리시립노인주간보호센터,지정,경기도 구리시 건원대로34번길 32-20,경기도 구리시 인창동 673-5번지,11922,031-551-8287,031-553-8253,17,17,2,15,17,0,31,7,24,7,7,2,5,7,7,2006-10-01,위탁,,대한성공회 유지재단,재단법인,비영리,,37.60333486,127.1418666
구리시,재가노인복지시설 재가노인지원서비스,구리재가노인지원서비스센터,미지정,경기도 구리시 벌말로129번길 50,경기도 구리시 토평동 984번지,11946,031-556-8100,031-556-6052,80,80,22,58,3,77,115,34,81,3,11,1,10,11,4,2008-05-28,,사회복지법인,신망애복지법인,사회복지법인,비영리,,37.58922903,127.1464825
구리시,재가노인복지시설 재가노인지원서비스,구리참사랑노인복지센터,미지정,경기도 구리시 딸기원로24번길 5-8,경기도 구리시 교문동 328-62번지,11950,031-564-6601,031-564-6602,,84,34,50,2,82,97,41,56,0,6,0,6,6,6,2007-05-16,,그외법인,사)참사랑복지회,사단법인,비영리,,37.60272802,127.1198736
구리시,재가노인복지시설 방문요양,구리참사랑노인복지센터,지정,경기도 구리시 딸기원로24번길 5-8,경기도 구리시 교문동 328-62번지,11950,031-564-6601,031-564-6602,0,64,11,53,64,0,79,16,63,0,51,0,51,51,51,2007-05-16,,그외법인,사)참사랑복지회,사단법인,비영리,,37.60272802,127.1198736
구리시,재가노인복지시설 주야간보호,구리효심데이케어센터,지정,경기도 구리시 체육관로171번길 42,경기도 구리시 교문동 216-11번지,11925,031-564-2500,031-564-2502,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-09,,개인,,개인,영리,,37.60006469,127.1336506
구리시,재가노인복지시설 주야간보호,사회적기업(주)온케어구리 주?야간보호센터,지정,경기도 구리시 체육관로74번길 45,경기도 구리시 수택동 849-6번지,11940,031-555-6696,031-629-6698,38,38,7,31,38,0,52,13,39,6,13,4,9,13,5,2016-09-21,,그외법인,사회적기업㈜온케어구리,주식회사,영리,,37.5912813,127.1405647
구리시,재가노인복지시설 주야간보호,순원주간보호센터,지정,경기도 구리시 이문안로 95,경기도 구리시 수택동 449-14번지,11941,031-566-9007,070-4116-9961,9,8,2,6,8,0,8,2,6,0,4,1,3,4,0,2013-03-05,,개인,,개인,영리,,37.5920363,127.1421173
구리시,재가노인복지시설 주야간보호,제일사랑노인주야간보호센터,지정,경기도 구리시 검배로 64,경기도 구리시 수택동 488-4번지,11932,031-562-1400,031-562-1444,38,36,7,29,36,0,41,10,31,0,13,2,11,13,13,2016-11-23,,사회복지법인,제일사랑복지협동조합,사회복지법인,비영리,,37.59623088,127.1454542
구리시,재가노인복지시설 방문요양,주식회사 미소지움종합케어복지센터,지정,경기도 구리시 응달말로 33,경기도 구리시 인창동 568-1번지,11923,031-572-1123,,0,23,12,11,23,0,23,12,11,0,17,3,14,17,17,2014-11-13,,,㈜미소지움종합케어복지센터,주식회사,영리,,37.60333406,127.1347095
구리시,재가노인복지시설 주야간보호,행복한현대요양원,지정,경기도 구리시 이문안로129번길 12-7,경기도 구리시 수택동 697-1번지,11942,031-566-4500,031-455-9400,6,6,3,3,6,0,6,3,3,6,5,1,4,5,1,2018-01-22,,개인,,개인,영리,정부지원,37.59192336,127.146148
구리시,재가노인복지시설 단기보호,휴안노인요양원,지정,경기도 구리시 산마루로 243-34,경기도 구리시 사노동 287-11번지,11905,031-571-8897,031-572-8891,18,9,2,7,8,1,33,4,29,7,7,0,7,7,7,2011-01-17,,개인,,개인,영리,,37.6320558,127.1358931
군포시,재가노인복지시설 방문요양,(주)다정종합복지센터,지정,경기도 군포시 군포로 759,경기도 군포시 산본동 98-1번지,15806,031-388-8957,031-391-8959,0,17,10,7,17,0,30,13,17,0,18,2,16,18,2,2016-03-22,,개인,㈜다정종합복지센터,주식회사,영리,,37.37275545,126.9423129
군포시,재가노인복지시설 방문목욕,(주)다정종합복지센터,지정,경기도 군포시 군포로 759,경기도 군포시 산본동 98-1번지,15806,031-388-8957,031-391-8959,0,0,0,0,0,0,0,0,0,0,17,0,15,17,2,2016-03-22,,개인,㈜다정종합복지센터,주식회사,영리,,37.37275545,126.9423129
군포시,재가노인복지시설 방문목욕,경기군포노인복지센터,지정,경기도 군포시 산본로369번길 16,경기도 군포시 산본동 1120번지,15824,031-399-8893,031-399-5394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-04-24,,개인,,개인,영리,,37.36327765,126.9280634
군포시,재가노인복지시설 방문요양,경기군포노인복지센터,지정,경기도 군포시 산본로369번길 16,경기도 군포시 산본동 1120번지,15824,031-399-8893,031-399-5394,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,2009-04-24,,개인,,개인,영리,,37.36327765,126.9280634
군포시,재가노인복지시설 방문목욕,군포사랑의손길노인복지센터,지정,경기도 군포시 군포로 444,경기도 군포시 당동 872번지,15875,031-398-0123,031-398-0128,0,7,1,6,7,0,10,3,7,0,9,0,9,9,2,1996-06-08,,그외법인,사랑의손길,사단법인,비영리,,37.34611248,126.9423681
군포시,재가노인복지시설 방문요양,군포사랑의손길노인복지센터,지정,경기도 군포시 군포로 444,경기도 군포시 당동 872번지,15875,031-398-0123,031-398-0128,0,103,16,87,34,69,139,27,112,0,38,0,38,38,2,1996-06-08,,그외법인,사랑의손길,사단법인,비영리,,37.34611248,126.9423681
군포시,재가노인복지시설 주야간보호,군포은빛사랑채,지정,경기도 군포시 군포로 221,경기도 군포시 부곡동 770-1번지,15887,031-687-8701,070-7596-8366,20,19,7,12,19,0,27,11,16,9,9,2,7,9,9,2013-01-01,위탁,,대한불교조계종사회복지재단,사회복지법인,비영리,,37.33292084,126.9256224
군포시,재가노인복지시설 주야간보호,매화노인복지센터,지정,경기도 군포시 곡란로 22,경기도 군포시 산본동 1055번지,15801,031-398-3677,031-398-3674,20,18,4,14,18,0,3813,961,2852,20,8,0,8,8,7,2008-05-27,,사회복지법인,연꽃마을,사회복지법인,비영리,,37.37469828,126.936068
군포시,재가노인복지시설 방문간호,사랑샘종합복지센터,지정,경기도 군포시 금산로 112,경기도 군포시 산본동 206-3번지,15806,031-399-6265,031-399-6263,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2016-08-04,,개인,,개인,영리,,37.37172506,126.9362851
군포시,재가노인복지시설 방문목욕,사랑샘종합복지센터,지정,경기도 군포시 금산로 112,경기도 군포시 산본동 206-3번지,15806,031-399-6265,031-399-6263,0,1,0,1,1,0,2,1,1,4,4,0,4,4,4,2016-08-04,,개인,,개인,영리,,37.37172506,126.9362851
군포시,재가노인복지시설 방문요양,사랑샘종합복지센터,지정,경기도 군포시 금산로 112,경기도 군포시 산본동 206-3번지,15806,031-399-6265,031-399-6263,0,14,3,11,14,0,17,4,13,0,16,0,16,16,16,2016-08-04,,개인,,개인,영리,,37.37172506,126.9362851
군포시,재가노인복지시설 주야간보호,성민노인복지센터,지정,경기도 군포시 군포로 487,경기도 군포시 당동 785-16번지,15861,031-397-4001,031-397-4003,23,23,3,20,23,0,37,6,31,11,11,3,8,11,11,2003-03-05,,그외법인,성민원,사단법인,비영리,,37.34992462,126.9440354
군포시,재가노인복지시설 재가노인지원서비스,성민재가노인복지센터,미지정,경기도 군포시 군포로 487,경기도 군포시 당동 785-16번지,15861,031-397-2020,031-397-2021,0,154,13,141,3,151,181,14,167,7,7,1,6,7,7,1999-07-22,,그외법인,성민원,사단법인,비영리,,37.34992462,126.9440354
군포시,재가노인복지시설 방문목욕,성민재가노인복지센터,지정,경기도 군포시 군포로 487,경기도 군포시 당동 785-16번지,15861,031-397-2020,031-397-2021,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2008-05-28,,그외법인,성민원,사단법인,비영리,,37.34992462,126.9440354
군포시,재가노인복지시설 방문요양,성민재가노인복지센터,지정,경기도 군포시 군포로 487,경기도 군포시 당동 785-16번지,15861,031-397-2020,031-397-2021,0,36,5,31,36,0,56,7,49,37,37,0,37,37,2,2008-05-28,,그외법인,성민원,사단법인,비영리,,37.34992462,126.9440354
김포시,재가노인복지시설 주야간보호,VIP주야간보호센터,지정,경기도 김포시 양촌읍 김포대로1685번길 74,경기도 김포시 양촌읍 석모리 503-6번지,10055,031-997-3119,031-997-8887,21,22,7,15,5,17,45,14,31,13,13,4,9,0,0,2015-09-01,,개인,,개인,영리,,37.66379027,126.6485601
김포시,재가노인복지시설 주야간보호,김포사랑채주야간보호센터,지정,경기도 김포시 조리미로 39,경기도 김포시 사우동 329-1번지,10110,031-981-1217,031-989-6686,18,7,0,7,0,7,25,7,18,6,6,0,6,0,0,2010-01-08,,개인,,개인,영리,,37.61699537,126.7228007
김포시,재가노인복지시설 주야간보호,김포삼성주야간보호센터,지정,경기도 김포시 양촌읍 양곡1로 65,경기도 김포시 양촌읍 양곡리 443번지,10059,031-997-6611,031-997-0046,63,21,8,13,8,13,25,9,16,9,9,3,6,0,0,2017-10-26,,개인,,개인,영리,,37.65621436,126.6228943
김포시,재가노인복지시설 방문요양,김포삼성주야간보호센터,지정,경기도 김포시 양촌읍 양곡1로 65,경기도 김포시 양촌읍 양곡리 443번지,10059,031-997-6611,031-997-0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-10-26,,개인,,개인,영리,휴업,37.65621436,126.6228943
김포시,재가노인복지시설 재가노인지원서비스,김포시노인복지센터,미지정,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865번지,10111,031-996-3925,031-997-9338,78,78,25,53,55,23,78,25,53,4,4,1,3,2,2,2012-07-02,위탁,,김포복지재단,사회복지법인,비영리,,37.62219345,126.7225773
김포시,재가노인복지시설 주야간보호,김포시노인복지센터,지정,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865번지,10111,031-996-3925,031-997-9338,15,11,3,8,4,7,24,11,13,8,11,1,10,0,0,2012-07-02,위탁,,김포복지재단,사회복지법인,비영리,,37.62219345,126.7225773
김포시,재가노인복지시설 방문요양,김포시노인복지센터,지정,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865번지,10111,031-996-3925,031-997-9338,0,11,2,9,11,0,16,2,14,9,9,1,8,0,0,2012-07-02,위탁,,김포복지재단,사회복지법인,비영리,,37.62219345,126.7225773
김포시,재가노인복지시설 주야간보호,김포시북부노인주간보호센터,지정,경기도 김포시 통진읍 마송1로16번길 40-2,경기도 김포시 통진읍 마송리 565-9번지,10032,031-984-0108,031-984-0181,15,15,1,14,1,14,25,2,23,8,8,3,5,0,0,2014-12-01,위탁,,석왕사 룸비니,사회복지법인,비영리,,37.68359583,126.6068381
김포시,재가노인복지시설 방문요양,김포시재가노인지원센터,지정,경기도 김포시 월곶면 김포대로 2857-39,경기도 김포시 월곶면 포내리 168-2번지,10024,031-998-8835,031-998-8081,0,7,2,5,7,0,13,3,10,5,5,1,4,0,0,2012-07-02,위탁,,석왕사 룸비니,사회복지법인,비영리,,37.71742876,126.5359881
